Gene_ID	Control_1	Control_2	Control_3	Control_4	PDX_1	PDX_2	PDX_3	PDX_4
ENSMUSG00000000724	0.000000	0.045104	0.000000	0.197492	0.000000	0.000000	0.000000	0.060966
ENSMUSG00000000730	0.0	0.000000	0.000000	0.0	0.000000	0.000000	0.0	0.000000
ENSMUSG00000000731	0.0	0.000000	0.000000	0.0	0.000000	0.000000	0.0	0.000000
ENSMUSG00000000732	1.074949	0.876323	0.947904	0.585623	0.608517	0.632484	1.208073	0.669970
ENSMUSG00000000738	17.958269	19.070570	20.943970	20.480392	21.113890	22.310213	20.540430	20.213886
ENSMUSG00000000739	0.861631	0.540428	0.496135	0.553549	0.745894	1.098771	1.048540	0.585419
ENSMUSG00000000740	90.036926	99.266365	96.464859	105.810547	103.123367	87.298172	119.396332	123.639290
ENSMUSG00000000743	12.864618	14.498722	12.988016	14.263710	14.667519	12.685604	13.449978	13.111546
ENSMUSG00000000751	10.684477	11.547592	12.090202	11.711953	12.047220	11.464445	11.685221	11.274889
ENSMUSG00000000753	38.483646	21.143705	23.890446	26.909752	10.676004	10.406280	14.270305	7.003826
ENSMUSG00000000759	3.310977	4.025449	3.933980	2.874108	3.381648	3.756100	4.698788	2.832339
ENSMUSG00000000766	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
ENSMUSG00000000776	5.468380	6.686850	6.789094	5.497859	5.571211	6.893500	6.834464	4.991568
ENSMUSG00000000782	0.147717	0.210831	0.255168	0.235908	0.000000	0.182813	0.114491	0.272573
ENSMUSG00000000787	58.799702	68.158127	69.761284	67.579163	70.130142	62.359631	70.747612	64.693932
ENSMUSG00000000791	0.000000	0.0	0.0	0.0	0.051349	0.0	0.067678	0.000000
ENSMUSG00000000792	0.0	0.0	0.027093	0.028948	0.0	0.000000	0.000000	0.0
ENSMUSG00000000794	1.077153	1.257726	1.006501	0.933582	0.959401	0.629596	1.014861	0.618641
ENSMUSG00000000804	3.860072	3.865516	3.613725	3.539628	3.926722	3.567109	3.655775	3.183651
ENSMUSG00000000805	1.809133	2.905272	2.459018	2.379924	1.784195	2.730999	1.200510	2.473067
ENSMUSG00000000811	1.146471	1.383442	1.387498	1.234715	0.930103	1.361687	1.151030	1.053917
ENSMUSG00000000817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000823	4.069701	5.501413	5.805928	5.794177	5.411069	4.960598	6.429289	6.309935
ENSMUSG00000000826	7.821998	8.932302	8.662262	9.152823	7.803185	7.423018	8.821520	8.364928
ENSMUSG00000000827	15.317714	11.500751	14.343123	12.747641	15.023188	15.385688	14.574130	16.132418
ENSMUSG00000000838	4.721724	5.983973	6.433632	5.525741	4.745003	5.074422	6.223584	5.362629
ENSMUSG00000000861	0.082210	0.013466	0.013322	0.027087	0.026758	0.014228	0.000000	0.0
ENSMUSG00000000869	0.138399	0.299855	0.080058	0.097921	0.399142	0.346347	0.363781	0.362076
ENSMUSG00000000876	5.345265	5.893598	5.451179	5.935530	5.632759	6.021037	5.934471	4.761736
ENSMUSG00000000881	0.394274	0.330919	0.572427	0.623482	0.480948	0.323874	0.449742	0.599940
ENSMUSG00000000884	0.359595	0.933918	0.599274	0.698050	0.244091	0.317286	0.377779	0.225108
ENSMUSG00000000889	0.0	0.0	0.000000	0.0	0.0	0.033202	0.0	0.033274
